 1110526.320406 2.070E-27 7.171E-05.08890.352  931.23710.73-.016710          0 0 3          0 0 0  6  0  6        7  4  3      364233807360713049    39.0   45.0
 1110526.349942 1.695E-29 1.876E-03.06440.250 2756.41530.67-.040000          1 0 2          0 0 0 14  3 12       13  6  7      234233807294713152    87.0   81.0
 1110526.388706 9.968E-27 1.427E-03.05100.298 1114.53230.47-.008170          0 4 1          0 0 0 11  2  9       10  0 10      264233807394713152    23.0   21.0
 1110526.399756 4.938E-27 9.498E-03.04940.298 1874.97300.49-.021070          0 4 1          0 0 0 11  6  6       10  6  5      232230807394713152    69.0   63.0
 1110526.400079 2.083E-27 1.205E-02.05400.298 1875.46180.41-.010622         -2-2-2          0 0 0 11  6  5       10  6  4      132232477291712250    23.0   21.0
 1110526.415784 6.356E-25 8.170E-03.07990.330  756.72480.68-.025310          2 0 1          0 0 0  7  2  6        6  4  3      364343801594703152    45.0   39.0
 1110526.445195 9.023E-29 7.879E-04.04640.265 1960.20740.39-.010622         -2-2-2          0 0 0 11  7  5       12  2 10      132232477291712250    23.0   25.0
 1110526.522762 6.681E-30 2.514E-02.03680.221 3269.53920.36-.010622         -2-2-2          0 0 0 15 -1 -1       15  5 11      132232477291712250    31.0   31.0
 1110526.543663 1.502E-30 5.309E-03.03680.221 3269.53920.38-.010622         -2-2-2          0 0 0 16 -1 -1       15  5 11      132232477291712250    33.0   31.0
 1110526.613157 1.104E-29 5.614E-03.04020.265 2813.52860.40-.027800          1 0 2          0 0 0 12  7  5       12  8  4      234233807294713152    25.0   25.0
 1110526.696103 2.186E-29 6.135E-04.04300.250 2248.06450.36-.010623         -2-2-2          0 0 0 14 -1 -1       13  3 11      132232477291712250    29.0   27.0
 1110526.788871 1.383E-24 2.626E-02.06330.366  885.60020.58-.020000          0 4 1          0 0 0  9  4  6        8  2  7      366341801562663120    57.0   51.0
 1110526.851470 7.961E-25 1.396E-02.08600.321  756.72480.69-.017730          3 0 0          0 0 0  5  5  0        6  4  3      365353801558663049    33.0   39.0
 1110526.853651 1.172E-28 1.125E-03.09350.391 2053.96860.74-.004890          0 3 2          0 1 0  5  3  2        5  2  3      334263807294713152    33.0   33.0
 1110527.095639 2.006E-30 1.301E-05.04640.265 2124.95140.39-.010623         -2-2-2          0 0 0 11  7  4       12  4  9      132232477291712250    69.0   75.0
 1110527.109023 3.600E-30 2.080E-07.06990.298 1114.54990.66-.000660          0 4 1          0 0 0  9  5  5       10  1 10      332233807394713155    57.0   63.0
 1110527.206045 5.973E-25 7.935E-02.04380.299 1080.38540.37-.023020          1 2 1          0 0 0 10  2  9        9  2  8      354443801594703152    21.0   19.0
 1110527.246571 1.368E-27 5.537E-06.10030.456  136.16390.75-.013270          0 2 2          0 0 0  3  1  3        2  2  0      334263807294713152     7.0    5.0
 1110527.254882 3.144E-24 1.790E-02.10550.347  206.30140.74-.013320          3 0 0          0 0 0  3  1  3        3  2  2      365423801558703049     7.0    7.0
 1110527.261467 2.150E-27 1.048E-02.09810.412 1821.59670.74-.006930          3 1 0          0 1 0  3  2  1        4  1  4      434223807294713152    21.0   27.0
 1110527.394489 3.866E-28 8.326E-07.08980.391  325.34790.72-.003230          1 4 0          0 0 0  5  5  0        5  0  5      332233807294713155    33.0   33.0
 1110527.444193 9.266E-27 7.956E-05.07930.300  383.84250.70-.009400          0 4 1          0 0 0  5  5  0        4  3  1      464333807394703152    11.0    9.0
 1110527.523539 1.913E-27 2.249E-03.02370.250 1806.67000.14-.025080          1 2 1          0 0 0 13  2 12       13  0 13      334233807294713152    81.0   81.0
 1110527.555865 3.531E-30 1.496E-03.08420.333 2670.78960.72-.014850          2 1 1          0 1 0  7  5  2        8  3  5      432230807294713152    15.0   17.0
 1110527.666741 1.767E-24 2.271E-02.08520.507  782.40980.68-.004810          2 2 0          0 0 0  8  3  6        7  2  5      353343803567663152    51.0   45.0
 1110527.676191 2.835E-26 2.019E-03.08530.333  882.89030.71-.005210          2 0 1          0 0 0  7  3  4        8  1  7      364233807294713152    15.0   17.0
 1110527.719461 9.643E-26 7.144E-01.08270.335 1907.61570.68-.014890          2 1 1          0 1 0  3  3  1        3  3  0      424423801594703152    21.0   21.0
 1110527.803791 1.687E-29 1.988E-04.08360.391 2130.49420.71-.012070          2 3 0          0 1 0  6  4  3        5  3  2      334233807294713152    39.0   33.0
 1110527.876768 4.778E-28 1.785E-01.05790.333 2919.63290.53-.021390          1 3 1          0 1 0  9  5  5        8  5  4      334233807294713152    57.0   51.0
 1110527.944393 2.786E-29 6.906E-04.04640.265 2433.80040.37-.010623         -2-2-2          0 0 0 13 -4 -4       12  6  7      132232477291712250    81.0   75.0
 1110528.101264 3.065E-26 6.807E-01.08260.335 1907.45130.68-.013520          2 1 1          0 1 0  3  3  0        3  3  1      424443801594703152     7.0    7.0
 1110528.118885 1.197E-27 4.425E-03.02700.250 2042.31060.21-.023280          1 2 1          0 0 0 13  3 11       13  1 12      334233807294713152    81.0   81.0
 1110528.161867 1.242E-28 1.700E-03.08100.371 2161.28590.68-.008352          1 3 1          0 1 0  6  4  2        6  2  5      4342338072947131 8    39.0   39.0
 1110528.219959 3.432E-27 6.547E-06.08950.412  300.36230.71-.001000          2 2 0          0 0 0  5  3  2        4  2  3      334233807294713152    33.0   27.0
 1110528.266406 6.784E-25 1.238E-02.08610.510  602.77350.71-.017000          2 2 0          0 0 0  7  3  5        6  2  4      365441801562663120    15.0   13.0
 1110528.317799 1.620E-28 2.202E-01.05270.298 3224.54650.47-.033110          1 3 1          0 1 0 11  4  8       10  4  7      334233807294713152    69.0   63.0
 1110528.379496 1.937E-25 2.012E-03.08850.496  648.97870.71-.023930          1 0 2          0 0 0  5  0  5        6  3  4      334353801594663152    33.0   39.0
